scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-C,random_forest_poisson__single_model__raw__two_stage,cv_dy_zcv,10,-17.98371390805584,16.248270403042373,23.685852906495587,-19.329224031696764,24.012137465112918
S-C,random_forest_poisson__single_model__raw__two_stage,cv_global,10,-15.274528329856045,16.02561452562444,21.55109056477397,-16.692747242829597,21.60615723079938
S-C,random_forest_poisson__single_model__raw__two_stage,cv_type,10,-15.09789361488796,15.040065222716668,20.77329047887428,-16.497712369232353,20.90153153451921
S-C,random_forest_poisson__single_model__raw__two_stage,cv_type_bs1,10,-15.411641122752112,15.74625287108927,21.463194394795067,-16.79940868263945,21.620227628021443
S-C,random_forest_poisson__single_model__raw__two_stage,duan,10,-16.873938151623754,16.603778631797937,23.083472596496364,-18.251473999671116,23.27669862347617
S-C,random_forest_poisson__single_model__raw__two_stage,insample_global,10,-16.536307501636877,16.006079306357766,22.450491822540656,-17.921536309906813,22.63805465369165
S-C,random_forest_poisson__single_model__raw__two_stage,iso_global,10,-16.98010981661169,13.447392505330226,21.238485305156843,-18.347419714918665,21.54662301054648
S-C,random_forest_poisson__single_model__raw__two_stage,none,10,-16.873938151623754,16.603778631797937,23.083472596496364,-18.251473999671116,23.27669862347617
S-C,random_forest_poisson__single_model__raw__two_stage,paper,10,-16.873938151623754,16.603778631797937,23.083472596496364,-18.251473999671116,23.27669862347617
S-C,random_forest_poisson__single_model__raw__two_stage,shift_dy_bs1,10,-19.271148561916412,12.768089542875558,22.76178522025134,-20.60681818858466,23.1549777951326
