kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"upper P(Y>0|c,k,r)",S-A,3.0,Bodily r=2,3651,0.6666666666666666,0.6659302447841842,0.007805972786160615,0.0943408211450701,,2431.3113237070565,True
"upper E[Y|c,k,r]",S-A,3.0,Bodily r=3,679,16595.813457281387,17470.778949340216,1338.6673896789628,-0.6536093273091996,,475.29999999999995,True
"upper P(Y>0|c,k,r)",S-A,3.0,Bodily r=3,679,0.7025036818851251,0.7,0.017586311452816476,0.14236537842756142,,475.29999999999995,True
"upper E[Y|c,k,r]",S-A,3.0,Annuity r=1,2724,46521.85798880536,44283.80023928706,1364.0631452026855,1.6407288455738926,,2652.4867147037758,True
"upper P(Y>0|c,k,r)",S-A,3.0,Annuity r=1,2724,0.9724669603524229,0.973746958408141,0.0030634395768093427,-0.4178303582051567,,2652.4867147037758,True
"upper E[Y|c,k,r]",S-A,3.0,Annuity r=2,1131,45483.415933216136,42097.26154705224,2013.295021351376,1.681896766372083,,1100.6085831615376,True
"upper P(Y>0|c,k,r)",S-A,3.0,Annuity r=2,1131,0.982316534040672,0.973128720744065,0.004808371495028631,1.910795225806965,,1100.6085831615376,True
"upper E[Y|c,k,r]",S-A,3.0,Annuity r=3,487,39500.466014042235,39092.36289378343,2896.824338407758,0.14087948476817885,,462.65,True
"upper P(Y>0|c,k,r)",S-A,3.0,Annuity r=3,487,0.9589322381930184,0.95,0.009876028265025429,0.9044362726918008,,462.65,True
"upper P(c,r|k)",S-A,4.0,Material r=1,140647,0.7513562322694405,0.7509129375248684,0.0011532013506565582,0.384403594671262,,,
"upper P(c,r|k)",S-A,4.0,Material r=2,140647,2.8439995165200822e-05,3.4091394621370204e-05,1.556860658974412e-05,-0.36299969580400765,,,
